Country Name,Country Code,Time,Time Code,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]",Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],Food production index (2014-2016 = 100) [AG.PRD.FOOD.XD],"Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","School enrollment, primary (% net) [SE.PRM.NENR]","School enrollment, secondary (% net) [SE.SEC.NENR]","Labor force participation rate, female (% of female population ages 15+) (national estimate) [SL.TLF.CACT.FE.NE.ZS]",Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Unemployment with basic education (% of total labor force with basic education) [SL.UEM.BASC.ZS],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Population living in slums (% of urban population) [EN.POP.SLUM.UR.ZS],Population density (people per sq. km of land area) [EN.POP.DNST],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Forest area (% of land area) [AG.LND.FRST.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]
Afghanistan,AFG,2000,YR2000,55.298,..,..,68.7,0.1,7.534,..,..,..,..,28.17141501,1.61359095573425,..,22.078,..,29.963328887049,0.0388998976717064,1.85278199408184,..
Afghanistan,AFG,2001,YR2001,55.798,..,47.8,62.42,0.1,7.446,..,..,..,..,28.19936611,4.07457399368286,..,22.169,..,30.1866396823207,0.0373229587510194,1.85278199408184,..
Afghanistan,AFG,2002,YR2002,56.454,..,45.6,75.75,0.1,7.339,..,..,..,..,30.23638459,9.40915775299072,..,22.261,..,32.1976235377091,0.0492198761767476,1.85278199408184,..
Afghanistan,AFG,2003,YR2003,57.344,..,40.6,77.83,0.1,7.22,..,..,..,..,32.27372204,14.7385063171387,..,22.353,..,34.7195467856431,0.0538176199474236,1.85278199408184,..
Afghanistan,AFG,2004,YR2004,57.944,..,38,75.77,0.1,7.069,..,..,..,..,34.32855936,20.0649681091309,..,22.5,..,36.112339205495,0.0439257333214852,1.85278199408184,2.43125786929857
Afghanistan,AFG,2005,YR2005,58.361,..,36.1,84.68,0.1,6.905,..,..,..,27.3092369477912,36.40150061,25.3908939361572,..,22.703,..,37.4272741210923,0.063577848372904,1.85278199408184,1.99206569856085
Afghanistan,AFG,2006,YR2006,58.684,..,33.3,78.42,0.1,6.722,..,..,..,27.3092369477912,38.47545989,30.7186908721924,..,22.907,63.6,39.0091593456296,0.0693386740150825,1.85278199408184,1.89623399634252
Afghanistan,AFG,2007,YR2007,59.111,..,29.8,85.87,0.1,6.53,..,26.55995,..,27.6859504132231,40.87574634,36.0510101318359,..,23.113,..,39.7149793784401,0.0683854926443545,1.85278199408184,2.56626735198569
Afghanistan,AFG,2008,YR2008,59.852,..,26.5,80.73,0.1,6.376,..,..,43.79,27.6859504132231,43.31114546,42.4000015258789,..,23.32,63.6,40.5182205663646,0.134885274826137,1.85278199408184,2.335545701939
Afghanistan,AFG,2009,YR2009,60.364,1570,23.3,93.57,0.1,6.235,..,..,..,27.3092369477912,45.78160949,46.7400512695313,..,23.528,..,41.9871931680542,0.178123619355445,1.85278199408184,2.08741255278385
Afghanistan,AFG,2010,YR2010,60.851,1770,21.2,93,0.1,6.099,..,..,..,27.710843373494,48.28708366,42.7000007629395,..,23.737,64.80761,43.2204467749107,0.252083458083514,1.85278199408184,1.94583569418812
Afghanistan,AFG,2011,YR2011,61.419,1750,20.2,88.65,0.1,5.958,..,..,..,27.710843373494,50.8278463,43.2220191955566,..,23.948,..,44.8448507428361,0.30525973791313,1.85278199408184,1.82134545354632
Afghanistan,AFG,2012,YR2012,61.923,1960,21.1,97.21,0.1,5.83,..,..,16.01,27.710843373494,53.4035172,69.0999984741211,..,24.16,67.24795,46.7112506324456,0.265190801995859,1.85278199408184,1.17541612009987
Afghanistan,AFG,2013,YR2013,62.417,2070,20.7,94.29,0.1,5.696,..,46.1909,..,27.710843373494,56.01404291,68.2906494140625,..,24.373,..,48.3590282569032,0.189816756865598,1.85278199408184,1.07694976762403
Afghanistan,AFG,2014,YR2014,62.545,2110,20.7,101.67,0.1,5.56,..,46.0584,25.78,27.710843373494,58.65937353,89.5,7.38,24.587,69.68829,50.160541526762,0.14915052813269,1.85278199408184,1.29801287790022
Afghanistan,AFG,2015,YR2015,62.659,2150,21.5,95.99,0.1,5.405,..,45.43273,..,27.710843373494,61.33978081,71.5,..,24.803,..,51.7509145546816,0.176179956928317,1.85278199408184,0.994575822723645
Afghanistan,AFG,2016,YR2016,63.136,2040,22.2,102.34,0.1,5.262,..,46.6585,..,27.710843373494,64.0548831,97.6999969482422,..,25.02,72.12863,53.1042837649295,0.153120981174411,1.85278199408184,0.956772140958855
Albania,ALB,2000,YR2000,75.404,3980,..,63.99,0.1,2.231,95.38335,66.69051,44.3,5.16129032258065,86.75447063,100,..,41.741,28.1,112.738211678832,1.0249473377863,28.0766423357664,1.24636024189216
Albania,ALB,2001,YR2001,75.639,4440,4.9,65.87,0.1,2.15,93.86551,68.41048,..,5.71428571428571,86.90407032,100,..,42.435,..,111.685145985401,1.05686835352119,28.1232481751825,1.30929137475594
Albania,ALB,2002,YR2002,75.89,4780,6.1,66.36,0.1,2.036,..,..,49.28,5.71428571428571,87.45163517,100,3.94,43.501,25.5,111.350729927007,1.23300153064067,28.1698540145985,1.32003449433204
Albania,ALB,2003,YR2003,76.142,5130,7.5,69.55,0.1,1.978,91.69871,..,27.17,5.71428571428571,87.98719397,100,..,44.573,..,110.934890510949,1.33760317092685,28.2164598540146,1.33684292419802
Albania,ALB,2004,YR2004,76.376,5560,8.6,72.86,0.1,1.89,90.92345,..,27.28,6.42857142857143,88.51058296,100,..,45.651,23,110.472226277372,1.40382743094592,28.2630656934307,1.38115794211088
Albania,ALB,2005,YR2005,76.621,5980,8.9,71.62,0.1,1.803,..,..,27.3,7.14285714285714,89.02118831,100,9.31,46.731,..,109.908284671533,1.33933834016219,28.3096715328467,1.35000497056322
Albania,ALB,2006,YR2006,76.816,6760,8.8,74.39,0.1,1.724,..,..,27.31,7.14285714285714,89.51913233,100,..,47.815,20.5,109.21704379562,1.34153281468929,28.3562773722628,1.56776908873068
Albania,ALB,2007,YR2007,77.549,7490,8.3,75.42,0.1,1.671,..,..,36.73,7.14285714285714,90.00418728,100,14.21,48.902,..,108.394781021898,1.39335902791129,28.4028832116788,1.8207653435572
Albania,ALB,2008,YR2008,77.653,8270,7.3,77.71,0.1,1.648,86.78701,..,45.66,7.14285714285714,90.47615076,100,11.37,49.991,17.9,107.566204379562,1.38590594690623,28.4494890510949,1.98486885667765
Albania,ALB,2009,YR2009,77.781,8670,6.3,80.49,0.1,1.647,85.34118,..,46.13,16.4285714285714,90.93441293,100,11.55,51.076,..,106.843759124088,1.43999065420242,28.4960948905109,1.5172171395597
Albania,ALB,2010,YR2010,77.936,9530,5.8,85.62,0.1,1.656,85.95611,..,46.86,16.4285714285714,91.37947821,100,12.74,52.163,15.4,106.314635036496,1.52752074221229,28.542700729927,1.55859189302349
Albania,ALB,2011,YR2011,78.092,10210,5.4,89.88,0.1,1.671,86.99052,..,52.49,15.7142857142857,91.81088697,100,12.31,53.247,..,106.02901459854,1.670352592511,28.5946532846715,1.52826633776627
Albania,ALB,2012,YR2012,78.064,10450,5.1,95.03,0.1,1.692,89.53195,..,48.84,15.7142857142857,92.22877874,99.9000015258789,11.78,54.33,12.9,105.854051094891,1.50296459006875,28.6466058394161,1.48708257655216
Albania,ALB,2013,YR2013,78.123,10750,5,95.62,0.1,1.697,91.90565,84.39599,43.94,17.8571428571429,92.63159485,100,14.06,55.387,..,105.660291970803,1.53217928825751,28.6985583941606,1.40898210141146
Albania,ALB,2014,YR2014,78.407,11360,5,96.82,0.1,1.674,93.78369,86.39145,43.98,20,93.02005646,99.9499969482422,15.07,56.423,10.3,105.441751824818,1.66847576272782,28.7505109489051,1.34651599128914
Albania,ALB,2015,YR2015,78.644,11800,4.9,100.07,0.1,1.613,94.17835,87.38842,47.04,20.7142857142857,93.39432534,99.9800033569336,13.5,57.434,..,105.135145985401,1.60380990334651,28.8024635036496,1.16230386432234
Albania,ALB,2016,YR2016,78.86,12270,4.7,103.11,0.1,1.551,94.05692,86.48091,49.73,22.8571428571429,93.75487823,99.8899993896484,12.92,58.421,7.8,104.967189781022,1.55665604232953,28.8021897810219,1.10358100880452
Algeria,DZA,2000,YR2000,70.478,8090,..,40.87,0.1,2.566,89.39816,..,6.65,3.42105263157895,89.84882827,98.9730987548828,..,59.919,..,12.9210665311915,2.60109133431733,0.662960692602887,3.43338563505363
Algeria,DZA,2001,YR2001,70.823,8580,8,44.02,0.1,2.507,91.25702,..,..,3.42105263157895,90.11344378,98.9668731689453,..,60.712,..,13.100080193472,2.52062875579088,0.677193984230017,3.82069546333074
Algeria,DZA,2002,YR2002,71.23,8990,7.3,45.47,0.1,2.456,92.17384,..,..,6.16966580976864,90.37379792,98.9530563354492,..,61.501,..,13.2779799642278,2.60571042327174,0.691427275857146,3.70082935899902
Algeria,DZA,2003,YR2003,71.287,9710,7,53.29,0.1,2.481,92.40589,..,..,6.16966580976864,90.62972314,98.9340133666992,..,62.284,..,13.4590186166416,2.75111747818645,0.705660567484276,3.25121089347184
Algeria,DZA,2004,YR2004,71.762,10200,7,58.19,0.1,2.512,92.86403,..,..,6.16966580976864,90.88125597,98.9120788574219,23.62,63.061,..,13.6497627784729,2.75277723726342,0.719893859111406,3.2838845233139
Algeria,DZA,2005,YR2005,72.061,10910,6.7,59.76,0.1,2.555,93.09766,..,..,6.16966580976864,91.12824941,98.8896102905273,..,63.83,..,13.8372324435077,2.85794477540068,0.734127150738536,2.83417835011465
Algeria,DZA,2006,YR2006,72.334,11400,6.4,63.06,0.1,2.604,93.20169,..,..,6.16966580976864,91.37095552,98.869010925293,..,64.593,..,14.0380897998942,2.98516707601717,0.748360442365665,2.6438075477202
Algeria,DZA,2007,YR2007,72.602,12220,5.9,58.12,0.1,2.677,95.24939,..,..,7.7120822622108,91.60922889,98.8529357910156,..,65.348,..,14.2684873243931,3.02351762795873,0.762593733992795,2.92332102697669
Algeria,DZA,2008,YR2008,72.941,12610,5.6,59.06,0.1,2.753,96.36304,..,..,7.7120822622108,91.84330409,99.3000030517578,..,66.097,30.8,14.5144272674599,3.11679119614718,0.776827025619925,3.02474714090386
Algeria,DZA,2009,YR2009,73.62,12640,5.1,73.12,0.1,2.813,97.44184,..,13.95,7.7120822622108,92.07203717,98.8451843261719,..,66.826,..,14.7774471604793,3.18708325031026,0.791060317247055,3.84851369829344
Algeria,DZA,2010,YR2010,73.808,13100,4.3,76.45,0.1,2.843,97.23353,..,14.16,7.7120822622108,92.29597417,98.8589324951172,..,67.54,30.8,15.0546843904037,3.18437094423235,0.805293608874184,3.51801260882618
Algeria,DZA,2011,YR2011,74.123,13410,3.8,84.49,0.1,2.88,97.5945,..,..,7.96915167095116,92.51499419,98.8880310058594,..,68.236,..,15.3432116855744,3.30524619932152,0.808484553309765,4.32570635861069
Algeria,DZA,2012,YR2012,74.202,13180,3.2,89.77,0.1,2.956,97.31376,..,15.8,31.6017316017316,92.74518845,98.7646636962891,..,68.915,28.88661,15.6442613383493,3.62138650454638,0.811675497745346,4.46107862007699
Algeria,DZA,2013,YR2013,74.615,12850,3,98.04,0.1,2.957,..,..,16.6,31.6017316017316,92.97088353,99.0022048950195,..,69.576,..,15.9549850109584,3.65848973119548,0.814866442180927,4.84450891704059
Algeria,DZA,2014,YR2014,75.11,12760,2.9,96.95,0.1,3.004,..,..,15.58,31.6017316017316,93.19235149,99.0870132446289,..,70.221,24.98121,16.2738871581281,3.81154436688716,0.818057386616507,5.54848333584853
Algeria,DZA,2015,YR2015,75.622,11760,2.8,100.26,0.1,3.041,97.54838,..,16.3,31.6017316017316,93.40956153,99.1866607666016,..,70.848,..,16.6026255583626,3.95198369861949,0.821247986241997,6.27024285623508
Algeria,DZA,2016,YR2016,75.732,11570,2.8,102.79,0.1,3.051,97.5908,..,16.94,31.6017316017316,93.62277749,99.3502502441406,..,71.459,21.07581,16.9369083372205,3.84007874796331,0.821247986241997,6.38492898301865
American Samoa,ASM,2000,YR2000,..,..,..,..,..,..,..,..,..,..,98.45908937,..,..,88.587,..,291.15,..,88.65,..
American Samoa,ASM,2001,YR2001,..,..,..,..,..,..,..,..,..,..,98.53642362,..,..,88.491,..,291.62,..,88.5,..
American Samoa,ASM,2002,YR2002,..,..,..,..,..,..,..,..,..,..,98.61375787,..,..,88.394,..,290.885,..,88.35,..
American Samoa,ASM,2003,YR2003,..,..,..,..,..,..,..,..,..,..,98.69109213,..,..,88.297,..,289.705,..,88.2,..
American Samoa,ASM,2004,YR2004,..,..,..,..,..,..,..,..,..,..,98.76842638,..,..,88.198,..,288.13,..,88.05,..
American Samoa,ASM,2005,YR2005,..,..,..,..,..,..,..,..,..,..,98.84576063,..,..,88.1,..,286.27,..,87.9,..
American Samoa,ASM,2006,YR2006,..,..,..,..,..,..,..,..,..,..,98.92309488,..,..,88,..,284.185,..,87.75,..
American Samoa,ASM,2007,YR2007,..,..,..,..,..,..,..,..,..,..,99.00042914,..,..,87.9,..,281.915,..,87.6,..
American Samoa,ASM,2008,YR2008,..,..,..,..,..,..,..,..,..,..,99.07776339,..,..,87.799,..,279.455,..,87.45,..
American Samoa,ASM,2009,YR2009,..,..,..,..,..,..,..,..,..,..,99.15509764,..,..,87.697,..,276.83,..,87.3,..
American Samoa,ASM,2010,YR2010,..,..,..,..,..,..,..,..,..,..,99.23243189,..,..,87.594,..,274.245,..,87.15,..
American Samoa,ASM,2011,YR2011,..,..,..,..,..,..,..,..,..,..,99.30976614,..,..,87.502,..,271.55,..,87,..
American Samoa,ASM,2012,YR2012,..,..,..,..,..,..,..,..,..,..,99.3871004,..,..,87.42,..,268.455,..,86.85,..
American Samoa,ASM,2013,YR2013,..,..,..,..,..,..,..,..,..,..,99.46443465,..,..,87.348,..,264.975,..,86.7,..
American Samoa,ASM,2014,YR2014,..,..,..,..,..,..,..,..,..,..,99.5417689,..,..,87.288,..,261.085,..,86.55,..
American Samoa,ASM,2015,YR2015,..,..,..,..,..,..,..,..,..,..,99.61910315,..,..,87.238,..,256.84,..,86.4,..
American Samoa,ASM,2016,YR2016,..,..,..,..,..,..,..,..,..,..,99.69643741,..,..,87.198,..,252.24,..,86.25,..
Angola,AGO,2000,YR2000,46.024,2780,..,33.6,1.1,6.639,..,..,..,15.4545454545455,41.14430792,24.2127437591553,..,50.087,19.7,13.1499655089436,0.988428615190061,62.3314430095452,6.39260315427404
Angola,AGO,2001,YR2001,46.59,2890,67.5,38.65,1.2,6.601,..,..,..,15.4545454545455,42.25467641,20,..,51.274,..,13.5891449426486,0.941824399331657,61.8862188176787,4.52435381521461
Angola,AGO,2002,YR2002,47.386,3360,63.2,43.79,1.4,6.567,..,..,..,15.4545454545455,43.37679859,26.3521175384521,..,52.461,19.7,14.0500032084704,0.895728219557975,61.4409946258121,2.86993244512575
Angola,AGO,2003,YR2003,49.617,3450,58.7,47.23,1.4,6.533,..,..,..,15.4545454545455,44.3638732,27.4127769470215,..,53.645,..,14.537853533328,0.924993580456604,60.9957704339456,3.76147907354734
Angola,AGO,2004,YR2004,50.592,3760,55.1,50.99,1.5,6.499,..,..,62.68,15,45.35133457,28.4705505371094,31.38,54.827,19.66039,15.0566495548247,0.929816406848284,60.5505462420791,3.47118018672779
Angola,AGO,2005,YR2005,51.57,4290,52.2,55.6,1.6,6.461,..,..,..,15,46.33601912,29.5277862548828,..,56,..,15.6019563648031,0.81288536981647,60.1053220502126,3.69224094698531
Angola,AGO,2006,YR2006,52.369,4710,49.3,56.56,1.7,6.419,..,..,..,15,47.15022864,30.5868949890137,..,56.764,25.79191,16.172567578407,0.821268761463203,59.660097858346,3.76149530543532
Angola,AGO,2007,YR2007,53.642,5330,46.1,64.15,1.8,6.372,..,..,..,15,47.96147053,37.5,..,57.524,..,16.7720253469159,0.811418288291683,59.2148736664795,3.11405449295742
Angola,AGO,2008,YR2008,54.633,5570,42.9,68.29,1.8,6.32,75.37373,9.15376,..,37.2727272727273,48.77040378,38.4900016784668,..,58.282,31.92344,17.3991513595893,0.888614454993061,58.769649474613,3.5731203644916
Angola,AGO,2009,YR2009,55.752,5820,33.1,85.36,1.9,6.26,74.65254,9.63002,60.92,38.6363636363636,49.57516542,33.802188873291,6.7,59.034,..,18.0538012352611,0.939461803116573,58.3244252827465,4.70961004832051
Angola,AGO,2010,YR2010,56.726,5950,23.9,90.3,1.9,6.194,75.80242,11.29064,75.66,38.6363636363636,50.37684093,34.895637512207,..,59.783,38.05496,18.7408237747654,0.975921051814989,57.8792010908799,4.17758456553984
Angola,AGO,2011,YR2011,57.596,6120,16.4,98.63,1.9,6.12,78.02393,..,85.57,38.1818181818182,51.17483374,34.5999984741211,14.5,60.528,..,19.4586596615064,0.983791203230819,57.4339760968958,3.25566035129376
Angola,AGO,2012,YR2012,58.623,6790,15.1,81.13,1.9,6.039,..,..,..,34.0909090909091,51.9685411,37.1313209533691,..,61.268,44.18648,20.2039720863079,0.94758707736118,56.9887511029117,3.2366594992166
Angola,AGO,2013,YR2013,59.307,7090,14.3,110.73,1.9,5.953,..,..,..,34.0909090909091,52.75734684,38.2780303955078,..,62.002,..,20.9729702414374,1.03104746004915,56.5435261089276,4.45523942155109
